发送时间：2019-04-15 15:24:15 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  not a valid non-string sequence or mapping object 
发送时间：2019-04-15 15:27:41 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  not a valid non-string sequence or mapping object 
发送时间：2019-04-15 15:29:38 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  not a valid non-string sequence or mapping object 
发送时间：2019-04-15 15:30:04 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 404: Not Found 
发送时间：2019-04-15 15:30:30 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 404: Not Found 
发送时间：2019-04-15 15:30:46 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  not a valid non-string sequence or mapping object 
发送时间：2019-04-15 15:31:41 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  not a valid non-string sequence or mapping object 
发送时间：2019-04-15 15:33:00 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 404: Not Found 
发送时间：2019-04-15 15:40:45 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 403: Forbidden 
发送时间：2019-04-15 15:43:10 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2019-04-16 09:45:58 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2023-10-04 13:45:36 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2023-10-04 14:04:46 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2023-10-04 22:29:33 	 服务器地址：http://192.168.0.196:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2023-10-04 22:35:40 	 服务器地址：http://192.168.0.196:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2023-10-04 22:47:32 	 服务器地址：http://192.168.0.196:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2023-10-05 23:06:56 	 服务器地址：http://192.168.0.196:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2023-10-05 23:08:26 	 服务器地址：http://192.168.0.196:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2023-10-05 23:09:39 	 服务器地址：http://192.168.0.196:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2023-10-05 23:13:13 	 服务器地址：http://192.168.0.196:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2023-10-05 23:16:46 	 服务器地址：http://192.168.0.196:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2023-10-05 23:17:38 	 服务器地址：http://192.168.0.196:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2023-10-05 23:23:16 	 服务器地址：http://192.168.0.196:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2023-10-09 23:29:25 	 服务器地址：http://192.168.0.196:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
